date,time_entry,time_exit,setup,contract,dte,strike,c_or_p,qty,entry_px,exit_px,premium_paid,premium_received,dollar_pnl,r_multiple,stop_px,target_px,dollar_risk,pct_risk_of_acct,account_equity_pre,followed_rules,setup_quality,fill_quality,gamma_recommended,j_override,hold_minutes,trade_grade,trade_grade_score,delta_at_entry,iv_at_entry,iv_regime,slippage_cents,exit_slippage_cents,tod_bucket,bars_after_trigger,entry_relative_to_bar,hold_quality_pct,cf_time_stop_pnl,cf_high_water_pnl,archetype_match_json,tape_assistance,notes_short,account_id
2022-07-22,11:23:16,11:37:58,MOMENTUM_BREAKOUT,SPXW 2022-07-22 3950.0P,0,3950.0,P,1,2.3,6,230,600,370,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",230,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,15,WIN,,OTM(~-18pt),,,,,MIDDAY,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""momentum-breakout"",""archetype_fine"":""momentum_breakout_continuation"",""trigger"":""breakout"",""vwap_side"":""below"",""new_session_extreme"":true,""prior_trend_30m_pct"":-0.42,""level"":{""level_name"":""ROUND"",""level_px"":397,""dist_pct"":-0.058},""playbook_setup"":""MOMENTUM_BREAKOUT"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-07-22). 1-2_lot. Archetype=momentum-breakout (momentum_breakout_continuation); trigger=breakout; VWAP below; prior-30m -0.42%; new_extreme=True; nearest level ROUND@397 (-0.058% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-06-06,11:11:12,11:17:30,RIDE_THE_RIBBON,SPXW 2022-06-06 4115.0P,0,4115.0,P,1,2.55,6.1,255,610,355,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",255,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,6,WIN,,OTM(~-29pt),,,,,MIDDAY,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""pullback-continuation"",""archetype_fine"":""bearish_pullback_resumption"",""trigger"":""pullback"",""vwap_side"":""below"",""new_session_extreme"":false,""prior_trend_30m_pct"":-0.41,""level"":{""level_name"":""SESSION_OPEN"",""level_px"":414.8,""dist_pct"":-0.089},""playbook_setup"":""RIDE_THE_RIBBON"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-06-06). 1-2_lot. Archetype=pullback-continuation (bearish_pullback_resumption); trigger=pullback; VWAP below; prior-30m -0.41%; new_extreme=False; nearest level SESSION_OPEN@414.8 (-0.089% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-08-01,14:48:36,14:58:47,BEARISH_REJECTION,SPXW 2022-08-01 4130.0C,0,4130.0,C,1,1,4.5,100,450,350,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",100,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,10,WIN,,OTM(~-29pt),,,,,AFTERNOON,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""reversal-off-extreme"",""archetype_fine"":""bullish_reversal_off_low"",""trigger"":""reclaim"",""vwap_side"":""below"",""new_session_extreme"":false,""prior_trend_30m_pct"":-0.08,""level"":{""level_name"":""ROUND"",""level_px"":410,""dist_pct"":0.033},""playbook_setup"":""BEARISH_REJECTION"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-08-01). 1-2_lot. Archetype=reversal-off-extreme (bullish_reversal_off_low); trigger=reclaim; VWAP below; prior-30m -0.08%; new_extreme=False; nearest level ROUND@410 (0.033% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-08-01,09:50:48,10:06:28,MOMENTUM_BREAKOUT,SPXW 2022-08-02 4180.0C,1,4180.0,C,1,3.2,6.6,320,660,340,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",320,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,16,WIN,,OTM(~-66pt),,,,,MORNING,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""momentum-breakout"",""archetype_fine"":""momentum_breakout_continuation"",""trigger"":""breakout"",""vwap_side"":""above"",""new_session_extreme"":true,""prior_trend_30m_pct"":0.53,""level"":{""level_name"":""ROUND"",""level_px"":411,""dist_pct"":0.088},""playbook_setup"":""MOMENTUM_BREAKOUT"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-08-01). 1-2_lot. Archetype=momentum-breakout (momentum_breakout_continuation); trigger=breakout; VWAP above; prior-30m 0.53%; new_extreme=True; nearest level ROUND@411 (0.088% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-08-30,09:47:05,10:05:56,MOMENTUM_BREAKOUT,SPXW 2022-08-30 3995.0P,0,3995.0,P,1,4.9,8.3,490,830,340,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",490,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,19,WIN,,OTM(~-31pt),,,,,MORNING,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""momentum-breakout"",""archetype_fine"":""momentum_breakout_continuation"",""trigger"":""breakout"",""vwap_side"":""below"",""new_session_extreme"":true,""prior_trend_30m_pct"":-0.33,""level"":{""level_name"":""IDL"",""level_px"":402.48,""dist_pct"":0.039},""playbook_setup"":""MOMENTUM_BREAKOUT"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-08-30). 1-2_lot. Archetype=momentum-breakout (momentum_breakout_continuation); trigger=breakout; VWAP below; prior-30m -0.33%; new_extreme=True; nearest level IDL@402.48 (0.039% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-04-07,12:15:16,14:03:08,BEARISH_REJECTION,SPXW 2022-04-08 4535.0C,1,4535.0,C,1,1.7,5,170,500,330,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",170,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,108,WIN,,OTM(~-90pt),,,,,MIDDAY,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""reversal-off-extreme"",""archetype_fine"":""bullish_reversal_off_low"",""trigger"":""reclaim"",""vwap_side"":""below"",""new_session_extreme"":false,""prior_trend_30m_pct"":0.04,""level"":{""level_name"":""ROUND"",""level_px"":445,""dist_pct"":-0.106},""playbook_setup"":""BEARISH_REJECTION"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-04-07). 1-2_lot. Archetype=reversal-off-extreme (bullish_reversal_off_low); trigger=reclaim; VWAP below; prior-30m 0.04%; new_extreme=False; nearest level ROUND@445 (-0.106% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2023-06-01,10:12:59,10:42:15,MOMENTUM_BREAKOUT,SPXW 2023-06-01 4200.0C,0,4200.0,C,2,3.4,5.05,680,1010,330,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",680,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,29,WIN,,OTM(~-15pt),,,,,MORNING,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""momentum-breakout"",""archetype_fine"":""momentum_breakout_continuation"",""trigger"":""breakout"",""vwap_side"":""above"",""new_session_extreme"":true,""prior_trend_30m_pct"":0.21,""level"":{""level_name"":""IDH"",""level_px"":418.26,""dist_pct"":0.06},""playbook_setup"":""MOMENTUM_BREAKOUT"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2023-06-01). 1-2_lot. Archetype=momentum-breakout (momentum_breakout_continuation); trigger=breakout; VWAP above; prior-30m 0.21%; new_extreme=True; nearest level IDH@418.26 (0.06% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2023-06-01,10:12:59,10:46:32,MOMENTUM_BREAKOUT,SPXW 2023-06-01 4200.0C,0,4200.0,C,1,3.4,6.7,340,670,330,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",340,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,34,WIN,,OTM(~-15pt),,,,,MORNING,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""momentum-breakout"",""archetype_fine"":""momentum_breakout_continuation"",""trigger"":""breakout"",""vwap_side"":""above"",""new_session_extreme"":true,""prior_trend_30m_pct"":0.21,""level"":{""level_name"":""IDH"",""level_px"":418.26,""dist_pct"":0.06},""playbook_setup"":""MOMENTUM_BREAKOUT"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2023-06-01). 1-2_lot. Archetype=momentum-breakout (momentum_breakout_continuation); trigger=breakout; VWAP above; prior-30m 0.21%; new_extreme=True; nearest level IDH@418.26 (0.06% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-05-06,09:36:24,09:47:03,MOMENTUM_BREAKOUT,SPXW 2022-05-06 4000.0P,0,4000.0,P,1,4.6,7.6,460,760,300,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",460,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,11,WIN,,OTM(~-81pt),,,,,MORNING,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""momentum-breakout"",""archetype_fine"":""momentum_breakout_continuation"",""trigger"":""breakout"",""vwap_side"":""below"",""new_session_extreme"":true,""prior_trend_30m_pct"":-0.74,""level"":{""level_name"":""ROUND"",""level_px"":408,""dist_pct"":0.017},""playbook_setup"":""MOMENTUM_BREAKOUT"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-05-06). 1-2_lot. Archetype=momentum-breakout (momentum_breakout_continuation); trigger=breakout; VWAP below; prior-30m -0.74%; new_extreme=True; nearest level ROUND@408 (0.017% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-05-09,09:34:21,10:00:22,BEARISH_REJECTION,SPXW 2022-05-09 3970.0P,0,3970.0,P,3,3,4,900,1200,300,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",900,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,26,WIN,,OTM(~-80pt),,,,,MORNING,0,at_close,,,,"{""size_class"":""3plus_lot"",""archetype"":""reversal-off-extreme"",""archetype_fine"":""counter_trend_fade"",""trigger"":""breakout"",""vwap_side"":""above"",""new_session_extreme"":true,""prior_trend_30m_pct"":-0.02,""level"":{""level_name"":""ROUND"",""level_px"":405,""dist_pct"":0.0},""playbook_setup"":""BEARISH_REJECTION"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-05-09). 3plus_lot. Archetype=reversal-off-extreme (counter_trend_fade); trigger=breakout; VWAP above; prior-30m -0.02%; new_extreme=True; nearest level ROUND@405 (0.0% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-05-11,09:33:25,09:34:55,MOMENTUM_BREAKOUT,SPXW 2022-05-11 3900.0P,0,3900.0,P,2,4.4,5.9,880,1180,300,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",880,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,2,WIN,,OTM(~-72pt),,,,,MORNING,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""momentum-breakout"",""archetype_fine"":""momentum_breakout_continuation"",""trigger"":""breakout"",""vwap_side"":""below"",""new_session_extreme"":true,""prior_trend_30m_pct"":-0.22,""level"":{""level_name"":""ROUND"",""level_px"":397,""dist_pct"":0.043},""playbook_setup"":""MOMENTUM_BREAKOUT"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-05-11). 1-2_lot. Archetype=momentum-breakout (momentum_breakout_continuation); trigger=breakout; VWAP below; prior-30m -0.22%; new_extreme=True; nearest level ROUND@397 (0.043% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-05-27,13:50:26,15:06:34,RIDE_THE_RIBBON,SPXW 2022-05-27 4145.0C,0,4145.0,C,1,1.8,4.8,180,480,300,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",180,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,76,WIN,,OTM(~-23pt),,,,,MIDDAY,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""trend-continuation"",""archetype_fine"":""trend_continuation_midrange"",""trigger"":""reclaim"",""vwap_side"":""above"",""new_session_extreme"":false,""prior_trend_30m_pct"":-0.11,""level"":{""level_name"":""ROUND"",""level_px"":412,""dist_pct"":0.04},""playbook_setup"":""RIDE_THE_RIBBON"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-05-27). 1-2_lot. Archetype=trend-continuation (trend_continuation_midrange); trigger=reclaim; VWAP above; prior-30m -0.11%; new_extreme=False; nearest level ROUND@412 (0.04% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-04-22,11:11:31,11:55:41,RIDE_THE_RIBBON,SPXW 2022-04-22 4290.0P,0,4290.0,P,1,1.6,4.5,160,450,290,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",160,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,44,WIN,,OTM(~-40pt),,,,,MIDDAY,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""trend-continuation"",""archetype_fine"":""trend_continuation_midrange"",""trigger"":""rejection"",""vwap_side"":""below"",""new_session_extreme"":false,""prior_trend_30m_pct"":0.04,""level"":{""level_name"":""ROUND"",""level_px"":433,""dist_pct"":0.007},""playbook_setup"":""RIDE_THE_RIBBON"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-04-22). 1-2_lot. Archetype=trend-continuation (trend_continuation_midrange); trigger=rejection; VWAP below; prior-30m 0.04%; new_extreme=False; nearest level ROUND@433 (0.007% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-09-13,09:48:53,10:01:18,RIDE_THE_RIBBON,SPXW 2022-09-13 3980.0P,0,3980.0,P,1,5.5,8.4,550,840,290,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",550,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,12,WIN,,OTM(~-38pt),,,,,MORNING,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""trend-continuation"",""archetype_fine"":""trend_continuation_midrange"",""trigger"":""rejection"",""vwap_side"":""below"",""new_session_extreme"":false,""prior_trend_30m_pct"":0.01,""level"":{""level_name"":""SESSION_OPEN"",""level_px"":401.8,""dist_pct"":0.007},""playbook_setup"":""RIDE_THE_RIBBON"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-09-13). 1-2_lot. Archetype=trend-continuation (trend_continuation_midrange); trigger=rejection; VWAP below; prior-30m 0.01%; new_extreme=False; nearest level SESSION_OPEN@401.8 (0.007% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
